"PRIO";"ACTIVITY_MACRO";"ACTOR_TYPE";"n";"shape";"scale";"mean_EPT_min";"cv"
"Prioritaire";"Accueil";"Agent_Accueil";19;24,141;0,164;3,95;0,204
"Standard";"Accueil";"Agent_Accueil";49;23,699;0,168;3,99;0,205
